市場,証券コード,銘柄名,業種,株価,配当利回り(%),売上高スコア,営業利益率スコア,EPSスコア,営業CFスコア,一株配当スコア,配当性向スコア,自己資本比率スコア,現金等スコア,総合スコア
東証STD,3437,特殊電極(株),金属製品,3225,3.1,15,6,9,-13,15,13,15,3,63
東証GRT,4076,(株)シイエヌエス,情報・通信,1774,3.1,21,-4,3,-5,13,5,15,15,63
東証PRM,3443,川田テクノロジーズ(株),金属製品,1563,3.09,21,6,9,-12,13,13,4,9,63
東証STD,4994,大成ラミックグループ(株),化学,2333,3,9,-2,-3,3,9,13,19,15,63
名証,9357,名港海運(株),,2375,2.95,3,2,9,3,11,9,23,3,63
東証PRM,7199,プレミアグループ(株),その他金融業,1844,2.93,21,28,15,-23,13,10,-10,9,63
東証STD,6489,前澤工業(株),機械,1728,2.78,9,6,9,-2,19,11,14,-3,63
東証PRM,9303,(株)住友倉庫,倉庫・運輸関連業,3765,2.74,3,-6,3,9,21,13,11,9,63
,9388,(株)パパネッツ,,1463,2.73,18,2,12,1,18,1,-1,12,63
東証PRM,1950,日本電設工業(株),建設業,4730,2.68,9,6,9,-14,21,11,18,3,63
東証GRT,9245,(株)リベロ,サービス業,1902,2.21,15,8,15,6,1,-1,4,15,63
東証PRM,1417,(株)ミライト・ワン,建設業,4118,2.06,21,2,3,-3,17,1,13,9,63
東証PRM,6277,ホソカワミクロン(株),機械,6320,2.06,3,-2,3,9,13,5,17,15,63
東証STD,6919,ケル(株),電気機器,1428,5.6,3,2,3,3,5,15,22,9,62
東証STD,1384,(株)ホクリヨウ,水産・農林業,2570,4.67,15,-2,3,3,11,7,16,9,62
東証STD,4093,東邦アセチレン(株),化学,401,3.49,-3,-2,-3,-3,17,19,10,27,62
東証STD,1967,(株)ヤマト,建設業,2254,3.42,15,-2,-3,-7,17,13,20,9,62
東証STD,4685,(株)菱友システムズ,情報・通信,3130,3.19,9,6,21,-13,21,5,10,3,62
