証券コード,年度,売上高,営業利益,営業利益率(%),EPS,営業CF,現金等,一株配当,配当性向(%),自己資本比率(%)
1967,2016/03,41544921000,3011832000,7.25,77.79,2688520000,3586203000,10,12.9,64
1968,2016/03,82306000000,5127000000,6.23,59.09,7263000000,14009000000,16.67,28.2,70.2
1969,2016/03,251291000000,9289000000,3.70,44.7,-1272000000,26342000000,14,31.3,45.8
1971,2016/03,8571917000,445108000,5.19,106.87,588645000,706869000,25,23.4,34.2
1972,2016/03,36635000000,3087000000,8.43,104.86,1329000000,4499000000,30,28.6,47
1973,2016/03,279961000000,14111000000,5.04,40.26,9435000000,43889000000,23.33,57.9,47.2
1975,2016/03,72904000000,2842000000,3.90,149.22,5036000000,10873000000,42.5,28.5,36.5
1976,2016/03,45412000000,5716000000,12.59,73.82,1632000000,15325000000,10,13.5,70.1
1979,2016/03,212424000000,12734000000,5.99,102.17,7301000000,38369000000,33.5,32.8,48.4
1980,2016/03,138346000000,6537000000,4.73,31.75,611000000,23536000000,6.67,21,45
1981,2016/03,35649576000,1248903000,3.50,75.92,1966331000,6814583000,15,19.8,57.1
1982,2016/03,79401000000,4676000000,5.89,156.86,1869000000,5945000000,20,25.5,62.8
1983,2016/03,219353000000,18648000000,8.50,115.4,25210000000,91633000000,37.5,32.5,50.8
1989,2016/03,12837000000,197070000,1.54,10.54,-67000000,1248502000,8,75.8,55.6
1992,2016/03,6072731000,258867000,4.26,176.92,34664000,1180034000,10,-,51.3
1994,2016/12,7801682000,1180260000,15.13,172.34,1179324000,1247957000,20,11.6,60.5
1997,2016/08,7818645000,677674000,8.67,231.25,834960000,2369058000,35,15.1,44.1
1999,2016/06,3986853000,-80373000,-2.02,-277.71,65717000,842559000,-,-,39.7
2001,2016/03,311628000000,11093000000,3.56,100.99,20675000000,20776000000,28,27.7,52.7
2002,2016/03,556701000000,23769000000,4.27,58.25,35839000000,72960000000,24,41.2,68.1
2003,2016/03,51916000000,2046000000,3.94,174.75,2679000000,6903000000,11.25,25.7,65.2
2004,2016/03,247823000000,7951000000,3.21,185.91,13036000000,1766000000,50,26.9,43.6
2009,2016/12,21863385000,1327821000,6.07,41.83,3389845000,11600016000,13,31.1,78
2053,2016/03,170172000000,3423000000,2.01,90.66,5028000000,4529000000,18,19.8,57.2
2055,2016/03,46504272000,757443000,1.63,26.8,1336850000,7188688000,5,18.7,61.2
2058,2016/03,12558246000,525506000,4.18,56.04,617033000,1427757000,9,16.1,51.8
2060,2016/03,228903000000,3492000000,1.53,58.56,6056000000,1819000000,20,34.2,32.6
